date,product_name,quantity,selling_price,revenue,cost
2024-01-01,Basmati Rice,45,650.75,29283.75,24100.50
2024-01-01,Premium Dark Chocolate,120,180.50,21660.00,14450.25
2024-01-01,Organic Whole Milk,85,95.25,8096.25,7230.10
2024-01-01,Instant Coffee Gold,30,450.00,13500.00,9015.50
2024-01-01,Sun-Dried Tomatoes,15,320.40,4806.00,4005.80
2024-01-01,Greek Yogurt,60,120.99,7259.40,5000.00
2024-01-01,Avocados,40,250.50,10020.00,7500.25
2024-01-01,Sparkling Water,100,60.25,6025.00,3500.75
2024-01-01,Whole Wheat Flour,50,120.45,6022.50,4500.20
2024-01-01,Farm Fresh Eggs,40,85.00,3400.00,2805.50
2024-01-01,Mustard Oil,30,180.25,5407.50,4510.30
2024-01-01,Organic Honey,15,450.60,6759.00,4800.00
2024-01-01,Peanut Butter,20,250.75,5015.00,3605.90
2024-01-01,Himalayan Pink Salt,80,65.20,5216.00,3200.40
2024-01-01,Digestive Biscuits,120,40.50,4860.00,3360.50
2024-01-01,Red Kidney Beans,35,140.30,4910.50,3850.25
2024-01-02,Basmati Rice,38,650.75,24728.50,20210.40
2024-01-02,Premium Dark Chocolate,145,180.50,26172.50,17460.80
2024-01-02,Organic Whole Milk,92,95.25,8763.00,7830.50
2024-01-02,Instant Coffee Gold,25,450.00,11250.00,7510.20
2024-01-02,Sun-Dried Tomatoes,22,320.40,7048.80,5810.30
2024-01-02,Greek Yogurt,55,120.99,6654.45,4810.00
2024-01-02,Avocados,35,250.50,8767.50,6810.40
2024-01-02,Sparkling Water,110,60.25,6627.50,3810.60
2024-01-02,Whole Wheat Flour,45,120.45,5420.25,4060.10
2024-01-02,Farm Fresh Eggs,42,85.00,3570.00,2950.40
2024-01-02,Mustard Oil,28,180.25,5047.00,4210.70
2024-01-02,Organic Honey,12,450.60,5407.20,3850.50
2024-01-02,Peanut Butter,22,250.75,5516.50,3970.30
2024-01-02,Himalayan Pink Salt,75,65.20,4890.00,3010.50
2024-01-02,Digestive Biscuits,130,40.50,5265.00,3650.90
2024-01-02,Red Kidney Beans,30,140.30,4209.00,3310.20
2024-01-03,Basmati Rice,52,650.75,33839.00,27850.40
2024-01-03,Premium Dark Chocolate,110,180.50,19855.00,13250.10
2024-01-03,Organic Whole Milk,78,95.25,7429.50,6640.80
2024-01-03,Instant Coffee Gold,35,450.00,15750.00,10515.50
2024-01-03,Sun-Dried Tomatoes,18,320.40,5767.20,4810.30
2024-01-03,Greek Yogurt,65,120.99,7864.35,5215.20
2024-01-03,Avocados,42,250.50,10521.00,8020.10
2024-01-03,Sparkling Water,95,60.25,5723.75,3315.40
2024-01-03,Whole Wheat Flour,55,120.45,6624.75,4960.30
2024-01-03,Farm Fresh Eggs,38,85.00,3230.00,2670.50
2024-01-03,Mustard Oil,32,180.25,5768.00,4815.10
2024-01-03,Organic Honey,18,450.60,8110.80,5770.90
2024-01-03,Peanut Butter,18,250.75,4513.50,3250.40
2024-01-03,Himalayan Pink Salt,85,65.20,5542.00,3410.80
2024-01-03,Digestive Biscuits,110,40.50,4455.00,3090.20
2024-01-03,Red Kidney Beans,40,140.30,5612.00,4415.50
2024-01-04,Basmati Rice,40,650.75,26030.00,21450.30
2024-01-04,Premium Dark Chocolate,130,180.50,23465.00,15650.40
2024-01-04,Organic Whole Milk,88,95.25,8382.00,7495.20
2024-01-04,Instant Coffee Gold,28,450.00,12600.00,8415.60
2024-01-04,Sun-Dried Tomatoes,20,320.40,6408.00,5315.40
2024-01-04,Greek Yogurt,58,120.99,7017.42,4915.20
2024-01-04,Avocados,38,250.50,9519.00,7215.10
2024-01-04,Sparkling Water,105,60.25,6326.25,3715.40
2024-01-04,Whole Wheat Flour,42,120.45,5058.90,3795.30
2024-01-04,Farm Fresh Eggs,45,85.00,3825.00,3165.20
2024-01-04,Mustard Oil,25,180.25,4506.25,3765.10
2024-01-04,Organic Honey,14,450.60,6308.40,4495.40
2024-01-04,Peanut Butter,25,250.75,6268.75,4515.20
